prompt,response,clauses_text_final,voice,idx,abstraction_score_normalized,reading_ease_normalized,grading_level_normalized
When people are helpless,"sometimes I want to help them, sometimes I want to tell them ways out I can see in case they can\'t, sometimes I just want to be with them and breathe along with what\'s going on; I\'m never sure what\'s a good thing to do...","['sometimes', 'I want to help them', 'sometimes I want to tell them ways out', 'I can see in case they can t sometimes', 'I just want to be with them and', 'breathe along with', 'what s going on I', 'm never sure', 'what s a good thing', 'to do']","['Undefined', 'A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def', 'P_get_x', 'A_def', 'P_bevb_x']",199,"[0.44, 0.88, 0.88, 1.0, 0.88, 0.56, 0.88, 0.56, 0.56, 0.0]","[0.25, 0.01, 0.05, 0.05, 0.02, 0.01, 0.06, 0.09, 0.01, 0.0]","[0.25, 0.03, 0.09, 0.09, 0.06, 0.02, 0.08, 0.1, 0.03, 0.01]"
If I had more money,"I would save and invest, hoard and spend frivolously, I have more money now than I have ever had --> There is a quietening of material/financial worries, and a returning to a space of contemplation about preparing space and spirit for renunciation and circulation.","['I would save and', 'invest hoard and', 'spend frivolously', 'I have more money now', 'than I have ever had', 'There is a quietening of material financial worries and', 'a returning to a space of contemplation about', 'preparing space and spirit for renunciation and circulation']","['P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def']",200,"[0.88, 0.56, 0.56, 0.88, 0.88, 1.0, 1.0, 1.0]","[0.01, 0.09, 0.13, 0.06, 0.06, 0.25, 0.18, 0.33]","[0.02, 0.1, 0.13, 0.08, 0.08, 0.29, 0.21, 0.37]"
What I like to do best is,"being in flow with whatever I do, a state of blissful purposeful presence to the task at hand, being it walking on the beach, riding my bike or doing clinical work or teaching. ","['being in flow with', 'whatever I do a state of blissful purposeful presence to the task at hand', 'being it walking on the beach', 'riding my bike or', 'doing clinical work or teaching']","['P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_pron_x', 'A_def']",201,"[0.56, 1.0, 1.0, 0.56, 1.0]","[0.07, 0.15, 0.1, 0.07, 0.21]","[0.09, 0.21, 0.12, 0.09, 0.23]"
If I were in charge,"i would change that by facilitating change that made everyone in charge ... to the degree of their capabilities in wordly matters, but always in charge of their interior and their right to decide for themselves what is real and true for them.","['i would change that by', 'facilitating change but always in charge of their interior and their right', 'that made everyone in charge to the degree of their capabilities in wordly matters', 'to decide for themselves', 'what is real and true for them']","['P_bevb_x', 'A_pron_x', 'A_pron_x', 'A_def', 'P_bevb_x']",202,"[1.0, 1.0, 1.0, 1.0, 0.56]","[0.01, 0.2, 0.2, 0.13, 0.05]","[0.03, 0.26, 0.27, 0.15, 0.09]"
Business and society,can\'t have one without the other. ,['can t have one without the other'],['P_bevb_x'],203,[1.0],[0.09],[0.12]
If I had more money,"I have big visions what I could do with that in service of growing, awakening and connecting. And I also realise that the concept of having money is a limited one. It is the flow of the commodity of money in service of that is powerful. How can I connect with that?","['I have big visions', 'what I could do with that in service of growing awakening and connecting', 'And I also realise', 'having money', 'that the concept of is a limited one', 'It is the flow of the commodity of money in service of that', 'is powerful', 'How can I connect with that']","['P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x']",204,"[0.88, 1.0, 0.88, 0.56, 1.0, 1.0, 0.48, 1.0]","[0.07, 0.15, 0.13, 0.25, 0.11, 0.13, 0.25, 0.06]","[0.09, 0.21, 0.15, 0.26, 0.15, 0.2, 0.26, 0.08]"
The thing I like about myself is,"These days I\'m happy that there\'s so much love resonating in my field, that I often see other people clearly, that I can more readily see (and somehow be mindful of) our long-term as well as immediately evolving species presence on this planet both in individuals and collectives. I always wanted to do this.","['These days', 'I m happy', 'that there s in my field', 'so much love resonating', 'that I often see other people clearly', 'that I can more readily see and', 'somehow be mindful of our long term as well as species presence on this planet both in individuals and collectives', 'immediately evolving', 'I always wanted to do this']","['Undefined', 'P_get_x', 'A_pron_x', 'A_def', 'A_def', 'P_bevb_x', 'A_pron_x', 'A_def', 'P_bevb_x', 'P_bevb_x']",205,"[0.56, 0.88, 0.56, 1.0, 1.0, 1.0, 1.0, 0.56, 0.88]","[0.0, 0.09, 0.01, 0.13, 0.16, 0.09, 0.18, 0.63, 0.1]","[0.01, 0.1, 0.04, 0.15, 0.19, 0.12, 0.28, 0.63, 0.12]"
Technology,is simply a tool.,['is simply a tool'],['P_bevb_x'],206,[0.0],[0.07],[0.09]
Change is,good.,['good'],['Undefined'],207,[0.48],[0.0],[0.0]
My main problem is,"procrastination. If I managed my time better, I\'m sure I\'d be in a better place. The problem I have with schedules is the lack of ability to adapt. I very much enjoy the flexibility and freedom of the moment but feel too often that I pay for it in the end. ","['procrastination', 'If I managed my time better', 'I m sure', 'I d be in a better place', 'I have with schedules', 'The problem is the lack of ability', 'to adapt I very much', 'enjoy the flexibility and freedom of the moment but', 'feel too often', 'that I pay for it in the end']","['Undefined', 'A_pron_x', 'P_get_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def']",208,"[1.0, 0.88, 0.88, 1.0, 1.0, 1.0, 1.0, 0.56, 0.56, 0.88]","[1.0, 0.1, 0.01, 0.05, 0.07, 0.13, 0.01, 0.22, 0.09, 0.02]","[1.0, 0.12, 0.02, 0.09, 0.09, 0.16, 0.03, 0.26, 0.1, 0.06]"
We could make the world a better place if,"we committed to listening to communities that are considered marginal and underresourced and committed ourselves to respond directly to what we hear. We have more than enough money in the United States to resolve housing, health and educational inequities but we need bold and creative disruptions to our cultural understanding of how and why resources need to be shared.  ","['we committed to', 'listening to communities', 'that are considered marginal and underresourced and', 'committed ourselves to respond directly to', 'what we hear', 'We have more than enough money in the United States', 'to resolve housing health and educational inequities', 'but we need bold and creative disruptions to our cultural understanding of', 'how and why resources need to be shared']","['A_def', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'A_pron_x', 'P_bevb_x', 'P_bevb_x']",209,"[1.0, 1.0, 1.0, 1.0, 0.56, 0.8, 1.0, 1.0, 1.0]","[0.17, 0.42, 0.27, 0.26, 0.01, 0.08, 0.27, 0.2, 0.05]","[0.18, 0.43, 0.3, 0.29, 0.02, 0.12, 0.3, 0.26, 0.09]"
Privacy,is important to me,['is important to me'],['P_bevb_x'],210,[0.56],[0.13],[0.15]
If I were in charge,"of another organization, I would focus on being an exceptional leader who develops the best in people.","['of another organization', 'I would focus on', 'being an exceptional leader', 'who develops the best in people']","['Undefined', 'P_bevb_x', 'P_bevb_x', 'A_def']",211,"[0.56, 1.0, 1.0, 0.56]","[0.51, 0.07, 0.32, 0.14]","[0.52, 0.09, 0.34, 0.17]"
When I am nervous,I fidget. I speak louder. I speak quicker. My heart races.,"['I fidget', 'I speak louder', 'I speak quicker My heart races']","['A_def', 'A_def', 'A_pron_x']",212,"[0.88, 0.88, 1.0]","[0.13, 0.09, 0.06]","[0.13, 0.1, 0.08]"
Change is,Everyday in everything and always. Change is a continuous process in every level of live.,"['Everyday in everything and', 'always Change', 'is a continuous process in every level of live']","['Undefined', 'A_def', 'P_bevb_x']",213,"[0.56, 1.0, 1.0]","[0.26, 0.13, 0.16]","[0.27, 0.13, 0.21]"
Crime and delinquency could be halted if,"We work together as a community, the police cannot stop crime, we have to work together as a community as a society to be the change  ","['We work together as a community', 'the police can not stop crime', 'we have to work together as a community as a society', 'to be the change']","['A_def', 'P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x']",214,"[1.0, 1.0, 1.0, 1.0]","[0.22, 0.06, 0.19, 0.01]","[0.25, 0.08, 0.24, 0.02]"
When I get mad,I want to be alone and have time to think or rest. ,"['I want to be alone and', 'have time', 'to think or rest']","['P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def']",215,"[0.88, 0.56, 0.56]","[0.01, 0.0, 0.01]","[0.04, 0.01, 0.02]"
My main problem is,I worry too much.,['I worry too much'],['A_def'],216,[1.0],[0.07],[0.09]
Technology,"has changed the way we all live. sometimes i think for the worse(!) i get sad when i see groups of people together but all on their phones, and try not to be that person in social settings and try as much as i can to interact with humans. while i know that i too completely rely on technology to make everything better and faster. ","['has changed the way', 'we all live sometimes', 'i think', 'for the worse i get sad', 'when i see groups of people together but all on their phones and', 'try not to be that person in social settings and', 'try as much to interact with humans', 'as i can', 'while i know', 'that i too completely rely on technology', 'to make everything better and faster']","['P_bevb_x', 'A_def', 'A_def', 'P_get_x', 'A_pron_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def']",217,"[1.0, 0.44, 0.56, 0.56, 0.56, 1.0, 1.0, 1.0, 0.56, 1.0, 0.56]","[0.01, 0.07, 0.0, 0.01, 0.09, 0.1, 0.13, 0.01, 0.01, 0.23, 0.14]","[0.02, 0.09, 0.01, 0.04, 0.16, 0.15, 0.16, 0.02, 0.02, 0.26, 0.17]"
My main problem is,I don\'t have the discipline that I need to succeed until I become fixated on a goal and even then it isn\'t the end that I am working for its the failure I am working to avoid.,"['I don t have the discipline', 'that I need to succeed', 'until I become fixated on a goal and even then it isn t the end', 'that I am working for its the failure', 'I am working', 'to avoid']","['P_bevb_x', 'P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_pron_x', 'P_bevb_x', 'A_def']",218,"[1.0, 1.0, 1.0, 0.88, 0.88, 0.0]","[0.1, 0.06, 0.11, 0.08, 0.09, 0.0]","[0.12, 0.08, 0.18, 0.12, 0.1, 0.01]"
The thing I like about myself is,"The thing I like about myself is... I am willing and able to explore myself, try new things, and promote my personal growth. I know I am never content to just sit on my laurels or become stagnant. I am constantly looking for ways to learn new skills, and lately new ways of thinking and conceptualizing things. There\'s this sense of constant learning and growth. I like this because it seems this will help ensure life is never boring and I keep bring new experiences into my life. Maybe too at some point, this will help me transcend some of the feelings of failure and need to \""succeed\"" that seems pretty engrained in me. I also like that I am by default kind to people. At the same time, I let myself bring darkness and negative thoughts in and sit with them. This leads to a rich inner life, and hopefully brings rich conversation and relationships with the people I care about.","['The thing', 'I like about myself', 'is', 'I am willing and able to explore myself', 'try new things and', 'promote my personal growth', 'I know', 'I am never content to just sit on my laurels or', 'become stagnant', 'I am constantly looking for ways', 'to learn new skills and lately new ways of', 'thinking and', 'conceptualizing things', 'There s this sense of constant learning and growth', 'I like this', 'because it seems', 'this will help ensure', 'life is never boring', 'and I keep bring new experiences into my life', 'Maybe too at some point this will help', 'me transcend some of the feelings of failure and need to succeed', 'that seems pretty engrained in me', 'I also like', 'that I am by default kind to people', 'At the same time I let', 'myself bring darkness and negative thoughts in and', 'sit with them', 'This leads to a rich inner life and', 'hopefully brings rich conversation and relationships with the people', 'I care about']","['Undefined', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def', 'A_pron_x', 'A_def', 'A_pron_x', 'A_pron_x', 'P_get_x', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_pron_x', 'A_pron_x', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def']",219,"[0.56, 0.88, 0.0, 0.88, 0.56, 0.56, 0.88, 1.0, 1.0, 1.0, 0.56, 0.56, 1.0, 1.0, 0.88, 1.0, 0.56, 0.56, 1.0, 0.56, 1.0, 0.56, 0.88, 0.88, 0.88, 0.56, 0.56, 1.0, 1.0, 1.0]","[0.0, 0.07, 0.0, 0.11, 0.01, 0.2, 0.0, 0.1, 0.25, 0.14, 0.05, 0.13, 0.63, 0.08, 0.01, 0.09, 0.07, 0.13, 0.14, 0.02, 0.12, 0.1, 0.09, 0.08, 0.01, 0.15, 0.01, 0.05, 0.27, 0.01]","[0.01, 0.09, 0.0, 0.15, 0.02, 0.21, 0.01, 0.15, 0.26, 0.17, 0.09, 0.13, 0.63, 0.12, 0.02, 0.1, 0.09, 0.15, 0.18, 0.06, 0.17, 0.12, 0.1, 0.12, 0.04, 0.18, 0.02, 0.09, 0.32, 0.02]"
Raising a family,"Captivates my whole being, just as every window on reality sees it is held in Love beyond knowing. ","['Captivates my whole being', 'just as every window on reality sees', 'it is held in Love beyond knowing']","['A_pron_x', 'A_def', 'P_bevb_x']",220,"[1.0, 0.56, 0.56]","[0.2, 0.2, 0.09]","[0.21, 0.23, 0.12]"
Being with other people,"Like all divine play, universal and deeply personal, undifferentiated and uniquely peculiar, all as one, a test – can the lost Mind, child of God, see it self, through itself, back home? Or will it be deluded by the reflection in the pond.","['Like all divine play universal and deeply personal undifferentiated and uniquely peculiar', 'all as one a test can the lost Mind child of God see it self through itself back home', 'Or will it be deluded by the reflection in the pond']","['Undefined', 'A_def', 'P_bevb_x', 'P_bevb_x']",221,"[1.0, 1.0, 1.0]","[0.32, 0.07, 0.12]","[0.38, 0.16, 0.17]"
What I like to do best is,"Is an expression of the love animating all creation, the simple joy that moves all from rock to life to mind to All. It comes through this glorious One in all its parts and territories, from an inaccessible Heart, within, without. 
","['Is an expression of the love to All', 'animating all creation the simple joy', 'that moves all from rock to life to mind', 'It comes through this glorious One in all its parts and territories from an inaccessible Heart within without']","['P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_pron_x']",222,"[0.88, 1.0, 1.0, 1.0]","[0.08, 0.22, 0.02, 0.2]","[0.12, 0.25, 0.07, 0.29]"
We could make the world a better place if,"Oh, God – better not to ask the question, and rather turn our attention in a way that allows Compassion to overtake us so fully that the world and self dissolve in light, and we can laugh again. ","['Oh God better not to ask the question and', 'rather turn our attention in a way', 'that allows', 'Compassion to overtake us so fully', 'that the world and self dissolve in light and', 'we can laugh again']","['A_def', 'A_pron_x', 'A_def', 'A_def', 'A_def', 'P_bevb_x']",223,"[0.56, 0.56, 0.56, 1.0, 0.56, 1.0]","[0.08, 0.09, 0.13, 0.18, 0.05, 0.01]","[0.12, 0.12, 0.13, 0.21, 0.09, 0.02]"
I am,"no thing as apparently I see this whole panoply of matter, life, mind, awareness infinitely turning on itself as a kaleidoscopic whole through individual illusions of wholeness and parts. Still, also I am nothing, the radiance that shines as Love as all of it, each tone ringing the same sound, blessing each realm in its own frequency.
","['no thing', 'as apparently I see', 'this whole panoply of matter life mind awareness infinitely turning on itself as a kaleidoscopic whole through individual illusions of wholeness and parts', 'Still also I am nothing the radiance', 'that shines as Love as all of it', 'ringing the same sound blessing each realm in its own frequency']","['Undefined', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'A_pron_x']",224,"[0.56, 0.88, 1.0, 1.0, 0.56, 1.0]","[0.0, 0.2, 0.25, 0.16, 0.02, 0.12]","[0.01, 0.21, 0.37, 0.19, 0.06, 0.17]"
My main problem is,"I am getting old, which is to say, I am an old ‘problem’ in brand new skin, mind continually loving to make something more important, weaving a dramatic story, flashing neon lights on the access road to the Kosmos. ","['I am getting old', 'which is to say', 'I am an old problem in brand new skin mind', 'continually loving', 'to make something more important', 'weaving a dramatic story', 'flashing neon lights on the access road to the Kosmos']","['P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def']",225,"[0.88, 1.0, 0.88, 1.0, 0.56, 1.0, 1.0]","[0.07, 0.01, 0.05, 0.63, 0.16, 0.26, 0.1]","[0.09, 0.02, 0.1, 0.63, 0.18, 0.27, 0.15]"
A partner has the right to,"Express the universal unfolding and infolding of worlds, transcending and embracing, timeless and eternal illusory bounds again and again, participating in the evolutionary elegance of reality. ","['Express', 'the universal unfolding and infolding of worlds', 'transcending and', 'embracing timeless and eternal illusory bounds again and again', 'participating in the evolutionary elegance of reality']","['A_def', 'A_def', 'A_def', 'A_def', 'A_def']",226,"[0.48, 0.56, 1.0, 1.0, 1.0]","[0.25, 0.23, 0.25, 0.22, 0.45]","[0.25, 0.26, 0.26, 0.26, 0.48]"
If my mother,"Hadn’t died through a drawn out heart breaking decline into dementia, I would never have loved her as fully as I do now. Why are we always looking up to the light?","['Hadn t died through a decline into dementia', 'drawn out', 'heart breaking', 'I would never have loved her as fully', 'as I do now', 'Why are we always looking up to the light']","['A_def', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x']",227,"[1.0, 0.56, 0.56, 0.88, 0.88, 0.56]","[0.15, 0.0, 0.13, 0.08, 0.01, 0.08]","[0.18, 0.01, 0.13, 0.12, 0.02, 0.12]"
If I can\'t get what I want,"The ultimate question of life and mind! Really, is there no quark or cosmos, no heart or thought, no pattern of awareness, no world, that is not lost in that question, while just out of sight, God smiles, lovingly, patiently, infinitely. Occasionally catching a glance. ","['want The ultimate question of life and mind', 'Really is there no quark or cosmos no heart or', 'thought no pattern of awareness no world', 'that is not lost in that question', 'while just out of sight God smiles lovingly patiently infinitely Occasionally catching a glance']","['A_def', 'P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'A_def']",228,"[0.56, 1.0, 0.56, 0.56, 1.0]","[0.11, 0.1, 0.09, 0.05, 0.25]","[0.15, 0.15, 0.12, 0.09, 0.32]"
Technology,"It is mind unconsciously birthing, its own mirror and alarm clock, waking, seeing itself, fostering it’s part in its world, not separate from any other world, therefore growing every ‘point’ and Whole. ","['It is mind unconsciously birthing its own mirror and alarm clock', 'waking seeing', 'itself fostering it', 's part in its world not separate from any other world', 'therefore growing every point and Whole']","['P_bevb_x', 'A_pron_x', 'A_def', 'A_def', 'A_pron_x', 'A_def']",229,"[1.0, 0.56, 0.56, 0.56, 0.56]","[0.12, 0.25, 0.26, 0.1, 0.14]","[0.17, 0.26, 0.27, 0.15, 0.17]"
When they avoided me,"I wondered is this mine or theirs? and feeling the contraction, sometimes I doubted myself as \""good\"" and tried to muster the courage to ask them about it while scared to hear their reply.","['I wondered', 'is this mine or theirs and', 'feeling the contraction', 'sometimes I doubted myself as good and', 'tried to muster the courage', 'to ask them about it while scared to hear their reply']","['A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'A_pron_x', 'A_pron_x']",230,"[0.88, 0.56, 1.0, 0.88, 1.0, 1.0]","[0.13, 0.01, 0.26, 0.13, 0.01, 0.05]","[0.13, 0.04, 0.27, 0.16, 0.03, 0.11]"
If my mother,"I feel a pull to look back at my own upbringing and my mother\'s inevitable influence on my development. I am also aware of having moved beyond dwelling on unfinished business and see how much  a trap that is for the ego and my identifying with the unmet need.  I suppose if my mother had been different I might have had different hang ups, but as I believe now I am the only one who can do anything about them, it feels a bit immaterial right now.","['I feel a pull and my mother s inevitable influence on my development', 'to look back at my own upbringing', 'I am also aware of', 'having moved beyond and', 'dwelling on unfinished business', 'see how much a trap my identifying with', 'that is for the ego and', 'the unmet need', 'I suppose', 'if my mother had been different', 'I might have had different hang ups', 'as I believe now', 'but I am the only one', 'who can do anything about them', 'it feels a bit immaterial right now']","['A_pron_x', 'A_pron_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_pron_x', 'P_bevb_x', 'A_def', 'A_def', 'A_pron_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_get_x']",231,"[1.0, 1.0, 0.88, 0.56, 0.56, 1.0, 0.56, 0.56, 0.88, 0.56, 0.88, 0.88, 0.88, 1.0, 0.56]","[0.17, 0.09, 0.06, 0.13, 0.2, 0.11, 0.01, 0.09, 0.13, 0.14, 0.09, 0.07, 0.06, 0.06, 0.16]","[0.23, 0.12, 0.08, 0.15, 0.21, 0.15, 0.04, 0.1, 0.13, 0.17, 0.12, 0.09, 0.08, 0.08, 0.19]"
A good boss,A good boss is critical toward making a workplace environment healthy and successful!,"['A good boss is critical toward', 'making a workplace environment healthy and successful']","['P_bevb_x', 'A_def']",232,"[1.0, 1.0]","[0.14, 0.27]","[0.17, 0.3]"
I am,"here, and I am available.","['here and', 'I am available']","['Undefined', 'P_bevb_x']",233,"[0.56, 0.88]","[0.0, 0.09]","[0.01, 0.1]"
Technology,is created when man discovers that he can reach out and manipulate the world to enhance one of his native capacities. As he does man and the world increasingly merge and overlap. I have no idea whether this trend is good or bad--it just is. ,"['is created', 'when man discovers', 'that he can reach out and', 'manipulate the world to enhance one of his native capacities', 'As he does man and the world increasingly merge and', 'overlap', 'I have no idea', 'whether this trend is good or bad', 'it just is']","['P_bevb_x', 'A_def', 'P_bevb_x', 'A_pron_x', 'A_pron_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x']",234,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.48, 0.88, 0.56, 0.48]","[0.25, 0.17, 0.01, 0.23, 0.1, 0.25, 0.01, 0.02, 0.01]","[0.26, 0.18, 0.04, 0.27, 0.15, 0.25, 0.02, 0.05, 0.02]"
Business and society,"need a new social contract. They coexist with a great deal of tension in a capitalist structure and shareholders win out at the expense of the workers, the environment, and the community at large. Business needs to be in the \""business\"" of generating value not wealth and operating within the constraints of our natural environment or actually contributing to better stewardship of the resources we have so we dont destroy ourselves.","['need a new social contract', 'They coexist with a great deal of tension in a capitalist structure and', 'shareholders win out at the expense of the workers the environment and the community at', 'large Business needs to be in the business of generating value not wealth and or', 'operating within the constraints of our natural environment', 'actually contributing to better stewardship of the resources', 'we have', 'so we dont destroy ourselves']","['A_def', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_pron_x', 'A_def', 'P_bevb_x', 'P_bevb_x']",235,"[1.0, 1.0, 1.0, 0.56, 1.0, 1.0, 0.56, 0.56]","[0.11, 0.17, 0.21, 0.14, 0.33, 0.3, 0.0, 0.1]","[0.13, 0.23, 0.28, 0.22, 0.37, 0.34, 0.01, 0.12]"
I am,pretty content right now.,['pretty content right now'],['Undefined'],236,[1.0],[0.13],[0.15]
What gets me into trouble is,Procrastinating.  ,['Procrastinating'],['A_def'],237,[1.0],[1.0],[1.0]
When I get mad,I raise my voice.,['I raise my voice'],['A_pron_x'],238,[1.0],[0.01],[0.02]
When I get mad,they call me the Hulk. ,['they call me the Hulk'],['A_def'],239,[1.0],[0.01],[0.03]
If I can\'t get what I want,it\'s not for me. ,"['want', 'it s not for me']","['A_def', 'A_def']",240,"[0.56, 0.56]","[0.0, 0.01]","[0.0, 0.03]"
I just can\'t stand people who,x,['who x'],['Undefined'],241,[0.56],[0.0],[0.01]
What I like to do best is,be a conduit. There is no I.,"['be a conduit', 'There is no I']","['P_bevb_x', 'P_bevb_x']",242,"[1.0, 0.88]","[0.09, 0.01]","[0.1, 0.02]"
Technology,"is a great tool, nice to have and can bring global humanity closer together in ways never before imagined. But if it were to disappear tomorrow, I'm of the generation that would be able to survive. ","['is a great tool nice to have and', 'can bring global humanity closer together in ways', 'never before imagined', 'if it were to disappear tomorrow', 'I m of the generation', 'that would be able to survive']","['P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'A_def']",243,"[1.0, 1.0, 0.56, 0.48, 0.88, 0.56]","[0.02, 0.24, 0.26, 0.18, 0.16, 0.06]","[0.06, 0.28, 0.27, 0.21, 0.18, 0.08]"
I am,sure of nothing.,['sure of nothing'],['Undefined'],244,[0.56],[0.09],[0.1]
Education,can be many things to many different peoples.,['can be many things to many different peoples'],['P_bevb_x'],245,[1.0],[0.11],[0.15]
When they avoided me,"I felt safe, knowing that I could receive a warm welcome from my family and friends.","['I felt safe knowing', 'that I could receive a warm welcome from my family and friends']","['A_def', 'A_def', 'A_pron_x']",246,"[0.88, 1.0]","[0.07, 0.12]","[0.09, 0.17]"
My co-workers and I,Work very well together as we have a long history of successes and failures and thus a solid foundation of trust and a shared vision of what doing a great job really means.,"['very well together', 'as we have a long history of successes and failures and thus a solid foundation of trust and a shared vision of', 'what doing a great job', 'really means']","['Undefined', 'P_bevb_x', 'A_def', 'A_def', 'A_def']",247,"[0.56, 1.0, 0.56, 0.56]","[0.17, 0.17, 0.06, 0.25]","[0.18, 0.28, 0.08, 0.26]"
Privacy,is something which is required at times and sometimes its a form of withdrawal and its important to know whether integrity is bringing this about or an ego contraction or fear.,"['is something', 'which is required at times and sometimes its a form of withdrawal and its important fear', 'to know', 'whether integrity is bringing this about or an ego contraction or']","['P_bevb_x', 'A_pron_x', 'A_def', 'P_bevb_x']",248,"[0.56, 1.0, 0.56, 1.0]","[0.13, 0.14, 0.0, 0.14]","[0.13, 0.22, 0.01, 0.2]"
Rules,would be more widely adopted and used if they were be made more on positive outcomes rather than negative outcomes. ,"['would be', 'more widely adopted and', 'used', 'if they were be made more on positive outcomes rather than negative outcomes']","['P_bevb_x', 'A_def', 'A_def', 'P_bevb_x']",249,"[0.48, 0.56, 0.48, 1.0]","[0.0, 0.13, 0.0, 0.15]","[0.01, 0.15, 0.0, 0.21]"
My child(ren) and I,not applicable,['not applicable'],['Undefined'],250,[1.0],[0.38],[0.38]
The past,is a construct to give form and structure to the present moment. ,"['is a construct', 'to give form and structure to the present moment']","['P_bevb_x', 'A_def']",251,"[1.0, 1.0]","[0.09, 0.08]","[0.1, 0.12]"
When they avoided me,I sought to find out 'why?' . Knowing the 'why' can begin Awareness and Healing,"['I sought to find out', 'why Knowing', 'the why can begin Awareness and Healing']","['A_def', 'A_def', 'A_def', 'P_bevb_x']",252,"[0.88, 0.56, 1.0]","[0.01, 0.13, 0.13]","[0.03, 0.13, 0.16]"
At times I worry about,the Lost World. ,['the Lost World'],"['A_def', 'A_def']",253,[0.56],[0.01],[0.02]
Loving other people,"can deepen with familiarity. Even with those who aren't a natural fit the differences between us can add color to the world as well as an opportunity to turn inward to see what is being triggered. Having said that, it's difficult for me to open my heart and trust.","['can deepen with familiarity Even with those', 'who aren', 't a natural fit', 'the differences between us can add color to the world as well as an opportunity', 'to turn inward', 'to see', 'what is being triggered', 'Having said', 'that it s difficult', 'for me to open my heart and trust']","['P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_get_x', 'A_pron_x']",254,"[1.0, 0.56, 0.56, 1.0, 0.56, 0.44, 0.56, 0.56, 1.0, 0.56]","[0.2, 0.0, 0.13, 0.18, 0.09, 0.0, 0.13, 0.13, 0.13, 0.02]","[0.23, 0.01, 0.15, 0.25, 0.1, 0.01, 0.15, 0.13, 0.15, 0.06]"
Privacy,Is certainly needed from time to time.,['Is certainly needed from time to time'],['P_bevb_x'],255,[1.0],[0.13],[0.16]
When I am criticized,"I find myself going inward to first examine my response to this criticism, and also the state of my heart. I live from a commitment to have an open mind to the feedback which I receive from the world , with which I am engaged and to be teachable and willing to listen, so that I might learn from others. I acknowledge as well the pain which such criticism creates within the, and allow this pain to teach me as well.","['I find', 'myself going inward', 'to first examine my response to this criticism and also the state of my heart', 'I live from a commitment', 'to have an open mind engaged and to the feedback', 'which I receive from the world', 'with which I am', 'to be teachable and willing to listen', 'so that I might learn from others as well the pain', 'I acknowledge', 'which such criticism creates within the and', 'allow this pain', 'to teach me as well']","['A_def', 'A_def', 'A_pron_x', 'A_def', 'P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def']",256,"[0.88, 0.56, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.88, 1.0, 1.0, 0.56, 1.0]","[0.0, 0.26, 0.14, 0.11, 0.08, 0.06, 0.01, 0.13, 0.05, 0.25, 0.16, 0.09, 0.01]","[0.01, 0.27, 0.22, 0.13, 0.12, 0.08, 0.02, 0.16, 0.11, 0.26, 0.19, 0.1, 0.03]"
