response,clauses_text_final,final_score,final_voice
"i would change that by facilitating change that made everyone in charge ... to the degree of their capabilities in wordly matters, but always in charge of their interior and their right to decide for themselves what is real and true for them.","['i would change that by', 'facilitating change but always in charge of their interior and their right', 'that made everyone in charge to the degree of their capabilities in wordly matters', 'to decide for themselves', 'what is real and true for them']",0.23,A_pron_x
can\'t have one without the other. ,['can t have one without the other'],0.11,A_def
"I have big visions what I could do with that in service of growing, awakening and connecting. And I also realise that the concept of having money is a limited one. It is the flow of the commodity of money in service of that is powerful. How can I connect with that?","['I have big visions', 'what I could do with that in service of growing awakening and connecting', 'And I also realise', 'having money', 'that the concept of is a limited one', 'It is the flow of the commodity of money in service of that', 'is powerful', 'How can I connect with that']",0.27,A_def
"These days I\'m happy that there\'s so much love resonating in my field, that I often see other people clearly, that I can more readily see (and somehow be mindful of) our long-term as well as immediately evolving species presence on this planet both in individuals and collectives. I always wanted to do this.","['These days', 'I m happy', 'that there s in my field', 'so much love resonating', 'that I often see other people clearly', 'that I can more readily see and', 'somehow be mindful of our long term as well as species presence on this planet both in individuals and collectives', 'immediately evolving', 'I always wanted to do this']",0.4,A_def
is simply a tool.,['is simply a tool'],0.2,P_bevb_x
good.,['good'],0.19,Undefined
"procrastination. If I managed my time better, I\'m sure I\'d be in a better place. The problem I have with schedules is the lack of ability to adapt. I very much enjoy the flexibility and freedom of the moment but feel too often that I pay for it in the end. ","['procrastination', 'If I managed my time better', 'I m sure', 'I d be in a better place', 'I have with schedules', 'The problem is the lack of ability', 'to adapt I very much', 'enjoy the flexibility and freedom of the moment but', 'feel too often', 'that I pay for it in the end']",0.57,Undefined
"we committed to listening to communities that are considered marginal and underresourced and committed ourselves to respond directly to what we hear. We have more than enough money in the United States to resolve housing, health and educational inequities but we need bold and creative disruptions to our cultural understanding of how and why resources need to be shared.  ","['we committed to', 'listening to communities', 'that are considered marginal and underresourced and', 'committed ourselves to respond directly to', 'what we hear', 'We have more than enough money in the United States', 'to resolve housing health and educational inequities', 'but we need bold and creative disruptions to our cultural understanding of', 'how and why resources need to be shared']",0.31,A_def
is important to me,['is important to me'],0.27,P_bevb_x
"of another organization, I would focus on being an exceptional leader who develops the best in people.","['of another organization', 'I would focus on', 'being an exceptional leader', 'who develops the best in people']",0.43,Undefined
I fidget. I speak louder. I speak quicker. My heart races.,"['I fidget', 'I speak louder', 'I speak quicker My heart races']",0.13,A_pron_x
Everyday in everything and always. Change is a continuous process in every level of live.,"['Everyday in everything and', 'always Change', 'is a continuous process in every level of live']",0.23,Undefined
"We work together as a community, the police cannot stop crime, we have to work together as a community as a society to be the change  ","['We work together as a community', 'the police can not stop crime', 'we have to work together as a community as a society', 'to be the change']",0.25,A_def
I want to be alone and have time to think or rest. ,"['I want to be alone and', 'have time', 'to think or rest']",0.23,P_get_x
I worry too much.,['I worry too much'],0.1,A_def
"has changed the way we all live. sometimes i think for the worse(!) i get sad when i see groups of people together but all on their phones, and try not to be that person in social settings and try as much as i can to interact with humans. while i know that i too completely rely on technology to make everything better and faster. ","['has changed the way', 'we all live sometimes', 'i think', 'for the worse i get sad', 'when i see groups of people together but all on their phones and', 'try not to be that person in social settings and', 'try as much to interact with humans', 'as i can', 'while i know', 'that i too completely rely on technology', 'to make everything better and faster']",0.27,A_def
I don\'t have the discipline that I need to succeed until I become fixated on a goal and even then it isn\'t the end that I am working for its the failure I am working to avoid.,"['I don t have the discipline', 'that I need to succeed', 'until I become fixated on a goal and even then it isn t the end', 'that I am working for its the failure', 'I am working', 'to avoid']",0.17,A_def
"The thing I like about myself is... I am willing and able to explore myself, try new things, and promote my personal growth. I know I am never content to just sit on my laurels or become stagnant. I am constantly looking for ways to learn new skills, and lately new ways of thinking and conceptualizing things. There\'s this sense of constant learning and growth. I like this because it seems this will help ensure life is never boring and I keep bring new experiences into my life. Maybe too at some point, this will help me transcend some of the feelings of failure and need to \""succeed\"" that seems pretty engrained in me. I also like that I am by default kind to people. At the same time, I let myself bring darkness and negative thoughts in and sit with them. This leads to a rich inner life, and hopefully brings rich conversation and relationships with the people I care about.","['The thing', 'I like about myself', 'is', 'I am willing and able to explore myself', 'try new things and', 'promote my personal growth', 'I know', 'I am never content to just sit on my laurels or', 'become stagnant', 'I am constantly looking for ways', 'to learn new skills and lately new ways of', 'thinking and', 'conceptualizing things', 'There s this sense of constant learning and growth', 'I like this', 'because it seems', 'this will help ensure', 'life is never boring', 'and I keep bring new experiences into my life', 'Maybe too at some point this will help', 'me transcend some of the feelings of failure and need to succeed', 'that seems pretty engrained in me', 'I also like', 'that I am by default kind to people', 'At the same time I let', 'myself bring darkness and negative thoughts in and', 'sit with them', 'This leads to a rich inner life and', 'hopefully brings rich conversation and relationships with the people', 'I care about']",0.4,A_def
"Captivates my whole being, just as every window on reality sees it is held in Love beyond knowing. ","['Captivates my whole being', 'just as every window on reality sees', 'it is held in Love beyond knowing']",0.21,A_pron_x
"Like all divine play, universal and deeply personal, undifferentiated and uniquely peculiar, all as one, a test – can the lost Mind, child of God, see it self, through itself, back home? Or will it be deluded by the reflection in the pond.","['Like all divine play universal and deeply personal undifferentiated and uniquely peculiar', 'all as one a test can the lost Mind child of God see it self through itself back home', 'Or will it be deluded by the reflection in the pond']",0.27,Undefined
"Is an expression of the love animating all creation, the simple joy that moves all from rock to life to mind to All. It comes through this glorious One in all its parts and territories, from an inaccessible Heart, within, without. 
","['Is an expression of the love to All', 'animating all creation the simple joy', 'that moves all from rock to life to mind', 'It comes through this glorious One in all its parts and territories from an inaccessible Heart within without']",0.23,A_def
"Oh, God – better not to ask the question, and rather turn our attention in a way that allows Compassion to overtake us so fully that the world and self dissolve in light, and we can laugh again. ","['Oh God better not to ask the question and', 'rather turn our attention in a way', 'that allows', 'Compassion to overtake us so fully', 'that the world and self dissolve in light and', 'we can laugh again']",0.18,A_def
"no thing as apparently I see this whole panoply of matter, life, mind, awareness infinitely turning on itself as a kaleidoscopic whole through individual illusions of wholeness and parts. Still, also I am nothing, the radiance that shines as Love as all of it, each tone ringing the same sound, blessing each realm in its own frequency.
","['no thing', 'as apparently I see', 'this whole panoply of matter life mind awareness infinitely turning on itself as a kaleidoscopic whole through individual illusions of wholeness and parts', 'Still also I am nothing the radiance', 'that shines as Love as all of it', 'ringing the same sound blessing each realm in its own frequency']",0.24,A_def
"I am getting old, which is to say, I am an old ‘problem’ in brand new skin, mind continually loving to make something more important, weaving a dramatic story, flashing neon lights on the access road to the Kosmos. ","['I am getting old', 'which is to say', 'I am an old problem in brand new skin mind', 'continually loving', 'to make something more important', 'weaving a dramatic story', 'flashing neon lights on the access road to the Kosmos']",0.41,P_bevb_x
"Express the universal unfolding and infolding of worlds, transcending and embracing, timeless and eternal illusory bounds again and again, participating in the evolutionary elegance of reality. ","['Express', 'the universal unfolding and infolding of worlds', 'transcending and', 'embracing timeless and eternal illusory bounds again and again', 'participating in the evolutionary elegance of reality']",0.33,A_def
"Hadn’t died through a drawn out heart breaking decline into dementia, I would never have loved her as fully as I do now. Why are we always looking up to the light?","['Hadn t died through a decline into dementia', 'drawn out', 'heart breaking', 'I would never have loved her as fully', 'as I do now', 'Why are we always looking up to the light']",0.22,P_bevb_x
"The ultimate question of life and mind! Really, is there no quark or cosmos, no heart or thought, no pattern of awareness, no world, that is not lost in that question, while just out of sight, God smiles, lovingly, patiently, infinitely. Occasionally catching a glance. ","['want The ultimate question of life and mind', 'Really is there no quark or cosmos no heart or', 'thought no pattern of awareness no world', 'that is not lost in that question', 'while just out of sight God smiles lovingly patiently infinitely Occasionally catching a glance']",0.24,P_bevb_x
"It is mind unconsciously birthing, its own mirror and alarm clock, waking, seeing itself, fostering it’s part in its world, not separate from any other world, therefore growing every ‘point’ and Whole. ","['It is mind unconsciously birthing its own mirror and alarm clock', 'waking seeing', 'itself fostering it', 's part in its world not separate from any other world', 'therefore growing every point and Whole']",0.24,A_def
"I wondered is this mine or theirs? and feeling the contraction, sometimes I doubted myself as \""good\"" and tried to muster the courage to ask them about it while scared to hear their reply.","['I wondered', 'is this mine or theirs and', 'feeling the contraction', 'sometimes I doubted myself as good and', 'tried to muster the courage', 'to ask them about it while scared to hear their reply']",0.27,A_def
"I feel a pull to look back at my own upbringing and my mother\'s inevitable influence on my development. I am also aware of having moved beyond dwelling on unfinished business and see how much  a trap that is for the ego and my identifying with the unmet need.  I suppose if my mother had been different I might have had different hang ups, but as I believe now I am the only one who can do anything about them, it feels a bit immaterial right now.","['I feel a pull and my mother s inevitable influence on my development', 'to look back at my own upbringing', 'I am also aware of', 'having moved beyond and', 'dwelling on unfinished business', 'see how much a trap my identifying with', 'that is for the ego and', 'the unmet need', 'I suppose', 'if my mother had been different', 'I might have had different hang ups', 'as I believe now', 'but I am the only one', 'who can do anything about them', 'it feels a bit immaterial right now']",0.22,A_pron_x
A good boss is critical toward making a workplace environment healthy and successful!,"['A good boss is critical toward', 'making a workplace environment healthy and successful']",0.31,P_bevb_x
"here, and I am available.","['here and', 'I am available']",0.1,P_bevb_x
is created when man discovers that he can reach out and manipulate the world to enhance one of his native capacities. As he does man and the world increasingly merge and overlap. I have no idea whether this trend is good or bad--it just is. ,"['is created', 'when man discovers', 'that he can reach out and', 'manipulate the world to enhance one of his native capacities', 'As he does man and the world increasingly merge and', 'overlap', 'I have no idea', 'whether this trend is good or bad', 'it just is']",0.25,A_pron_x
"need a new social contract. They coexist with a great deal of tension in a capitalist structure and shareholders win out at the expense of the workers, the environment, and the community at large. Business needs to be in the \""business\"" of generating value not wealth and operating within the constraints of our natural environment or actually contributing to better stewardship of the resources we have so we dont destroy ourselves.","['need a new social contract', 'They coexist with a great deal of tension in a capitalist structure and', 'shareholders win out at the expense of the workers the environment and the community at', 'large Business needs to be in the business of generating value not wealth and or', 'operating within the constraints of our natural environment', 'actually contributing to better stewardship of the resources', 'we have', 'so we dont destroy ourselves']",0.31,A_def
pretty content right now.,['pretty content right now'],0.13,Undefined
Procrastinating.  ,['Procrastinating'],0.56,A_def
I raise my voice.,['I raise my voice'],0.23,A_pron_x
they call me the Hulk. ,['they call me the Hulk'],0.07,A_def
it\'s not for me. ,"['want', 'it s not for me']",0.05,A_def
x,['who x'],0.04,Undefined
be a conduit. There is no I.,"['be a conduit', 'There is no I']",0.18,A_def
"is a great tool, nice to have and can bring global humanity closer together in ways never before imagined. But if it were to disappear tomorrow, I'm of the generation that would be able to survive. ","['is a great tool nice to have and', 'can bring global humanity closer together in ways', 'never before imagined', 'if it were to disappear tomorrow', 'I m of the generation', 'that would be able to survive']",0.25,A_def
sure of nothing.,['sure of nothing'],0.08,Undefined
can be many things to many different peoples.,['can be many things to many different peoples'],0.23,A_def
"I felt safe, knowing that I could receive a warm welcome from my family and friends.","['I felt safe knowing', 'that I could receive a warm welcome from my family and friends']",0.21,A_def
Work very well together as we have a long history of successes and failures and thus a solid foundation of trust and a shared vision of what doing a great job really means.,"['very well together', 'as we have a long history of successes and failures and thus a solid foundation of trust and a shared vision of', 'what doing a great job', 'really means']",0.26,A_def
is something which is required at times and sometimes its a form of withdrawal and its important to know whether integrity is bringing this about or an ego contraction or fear.,"['is something', 'which is required at times and sometimes its a form of withdrawal and its important fear', 'to know', 'whether integrity is bringing this about or an ego contraction or']",0.21,A_pron_x
would be more widely adopted and used if they were be made more on positive outcomes rather than negative outcomes. ,"['would be', 'more widely adopted and', 'used', 'if they were be made more on positive outcomes rather than negative outcomes']",0.25,P_bevb_x
not applicable,['not applicable'],0.42,Undefined
is a construct to give form and structure to the present moment. ,"['is a construct', 'to give form and structure to the present moment']",0.18,A_def
I sought to find out 'why?' . Knowing the 'why' can begin Awareness and Healing,"['I sought to find out', 'why Knowing', 'the why can begin Awareness and Healing']",0.14,A_def
the Lost World. ,['the Lost World'],0.04,A_def
"can deepen with familiarity. Even with those who aren't a natural fit the differences between us can add color to the world as well as an opportunity to turn inward to see what is being triggered. Having said that, it's difficult for me to open my heart and trust.","['can deepen with familiarity Even with those', 'who aren', 't a natural fit', 'the differences between us can add color to the world as well as an opportunity', 'to turn inward', 'to see', 'what is being triggered', 'Having said', 'that it s difficult', 'for me to open my heart and trust']",0.27,A_def
Is certainly needed from time to time.,['Is certainly needed from time to time'],0.37,P_bevb_x
"I find myself going inward to first examine my response to this criticism, and also the state of my heart. I live from a commitment to have an open mind to the feedback which I receive from the world , with which I am engaged and to be teachable and willing to listen, so that I might learn from others. I acknowledge as well the pain which such criticism creates within the, and allow this pain to teach me as well.","['I find', 'myself going inward', 'to first examine my response to this criticism and also the state of my heart', 'I live from a commitment', 'to have an open mind engaged and to the feedback', 'which I receive from the world', 'with which I am', 'to be teachable and willing to listen', 'so that I might learn from others as well the pain', 'I acknowledge', 'which such criticism creates within the and', 'allow this pain', 'to teach me as well']",0.23,A_def
"My intellect. My mind is ultra fast and If im not fully in my center, I sometimes jap out something stupid. Because I easily see peoples struggle I can also easily hurt them.. Its a defence programme.  It hasn't come up for a while now and I assume I got the better of it. There are many other things that will get me in trouble if I dont attend to my inner self in the for of my spiritual practice","['My intellect', 'My mind is ultra fast and', 'If i m not fully in my center', 'I sometimes jap out something stupid', 'Because I easily see', 'peoples struggle', 'I can also easily hurt them', 'It hasn t come up for a while now', 'and I assume', 'I got the better of it', 'There are many other things', 'that will get me in trouble', 'if I dont attend to my inner self in the for of my spiritual practice']",0.23,Undefined
"could spread love and compassion to all, bring happiness to everyone we meet. If everyone would show a little respect and take responsibilities for there actions.","['could spread love and compassion', 'to all bring happiness to everyone', 'we meet', 'If everyone would show a little respect and', 'take responsibilities for there actions']",0.31,A_def
"First, when there is a connection/oneness that unites consciousness, heart and body so that the localized and the infinite are experienced simultaneously. And second, when one feels the ability to shift the cosmic flow of life and love and direct some of its healing power where it is needed, either within the deepest essence of a loved one, a person in need, toward a global tragedy, or a world view or meme that is doing harm. ","['when there is a connection oneness', 'that unites consciousness heart and body', 'the localized and the infinite', 'so that are experienced simultaneously', 'And second when one feels the ability', 'to shift the cosmic flow of life and love and', 'direct some of its healing power', 'where it is needed either within the deepest essence of a loved one a person in need toward a global tragedy or a world view or meme', 'that is doing harm']",0.29,P_bevb_x
"from the perspective of the individual, is to reach beyond the confines of the mind, heart and body and use them to sense oneness with the gross, subtle and causal. From the perspective of the one, work is to sense through the specific circumstances of the individual to see where healing is required in the ever-present now and as mentioned above to apply to that location the energy of love and life.","['the perspective of the individual', 'is to reach beyond the confines of the mind heart and body and', 'use them to sense oneness with the gross subtle and causal From the perspective of the one work', 'is to sense through the specific circumstances of the individual', 'to see', 'where healing is required in the ever present now and', 'as mentioned above', 'to apply to that location the energy of love and life']",0.27,Undefined
"we could all see that we want the same thing. We want it in different ways, which is just fine. But that so much of the fundamentals of the beauty we want to see in the world are the same. And love. That we would freely follow love in every part of life and develop our families, societies, businesses, countries, etc., and just go where love leads.","['we could all see', 'that we want the same thing', 'We want it in different ways', 'which is just fine', 'we want to see in the world', 'But that so much of the fundamentals of the beauty are the same', 'That we would freely follow love in every part of life and', 'develop our families societies businesses countries etc and', 'just go', 'where love leads']",0.3,A_def
Women are lucky because they seem to inherent greater ability to empathize with and nurture others.,"['Women are lucky', 'because they seem to inherent greater ability', 'to empathize with and', 'nurture others']",0.27,P_bevb_x
"I may experience at first a little sting inside, especially if it comes from a person who is coming from a comparison/competitive mindset and might be doing it to feel better about him/herself. I tend to look for what I can learn from the criticism by asking questions about the specific context or what I might have been unaware of at that moment","['I may experience at first a little sting inside', 'especially if it comes from a person', 'who is coming from a comparison competitive mindset and', 'might be doing it', 'to feel better about him herself', 'I tend to look for', 'what I can learn from the criticism by', 'asking questions about the specific context or', 'I might have been unaware of what at that moment']",0.24,P_bevb_x
"...is only a thought, and has no existence outside of thought (as with 'future'). Past is an arising manifestation of thought, alongside other arising manifestation such as 'hot' in relation to 'touch'. It appears 'now', in the eternal moment, and cannot appear anywhere else. It has no substantiality, like all other thoughts, and is purely empty, no-core, ethereal, non-arising, but nevertheless is vividly luminous. It is one of the manifestations of thought which thought then clings to, causing suffering to the 'apparent' self","['is only a thought and', 'has no existence outside of thought as with future Past', 'is an arising manifestation of thought alongside other arising manifestation such as hot in relation', 'to touch', 'It appears now in the eternal moment and', 'can not appear anywhere else', 'It has no substantiality like all other thoughts and but', 'is purely empty no core ethereal non arising', 'nevertheless is vividly luminous', 'It is one of the manifestations of thought', 'which thought then clings to', 'causing suffering to the apparent self']",0.34,P_bevb_x
"...are linked very closely. The 'business' of Grace appears to be to manifest in increasingly complex and coherence forms in a play of evolutionary phenomena. The 'society' of Grace is so fundamentally pure, the individual nor collective cannot be found in its unmanifest form, and in its manifest form the 'society' is all that has every and will ever manifest in the eternal moment. The collective human consciousness collapse (Note I'm not reifying One cosmic Mind here) of Grace is one such 'society' which again has the 'business' of this evolutionary condition - i.e. the 'business' of humanity is manifesting this evolution in the moment, towards experiential unity. Although I note it is not possible to isolate 'human consciousness' from the manifest texture of Grace, it is all manifest together","['are linked very closely', 'The business of Grace appears to be to manifest in increasingly complex and coherence forms in a play of evolutionary phenomena', 'The society of Grace is so fundamentally pure', 'the individual nor collective can not be found in its unmanifest form and in its manifest form', 'the society is all', 'that has every and', 'will ever manifest in the eternal moment', 'I m not reifying One cosmic Mind here of Grace', 'is one such society', 'which again has the business of this evolutionary condition', 'i e the business of humanity is manifesting this evolution in the moment towards experiential unity', 'Although I note', 'it is not possible to isolate human consciousness from the manifest texture of Grace', 'it is all manifest together']",0.26,A_def
"...is desire, as without any desire there cannot be any manifestation in any form","['is desire as without any desire', 'there can not be any manifestation in any form']",0.2,A_def
I was born in the future.,['I was born in the future'],0.09,P_bevb_x
"a natural dynamic, built into the evolutionary energy/matter/information explosion that has travelled in ever-complexifying waves outward from the Big Bang birth of our Kosmos to our daily bio-psycho-cultural-systems experience.","['a natural dynamic', 'built into the evolutionary energy matter information explosion', 'that has travelled in waves outward from the Big Bang birth of our Kosmos to our daily bio psycho cultural systems experience', 'ever complexifying']",0.4,A_def
" depend 105% on the other partner(s) (assuming they are equally yoked).

","['depend 105 on the other partner s', 'they are equally yoked']",0.13,A_def
"I can feel hurt but have learned that ""criticism"" is my perception from my life experience where at an early age, I was constantly criticized and shamed. As an adult, I endeavour to treat criticism as a constructive tool of feedback and improvement where necessary.","['I can feel hurt but', 'have learned', 'that criticism is my perception from my life experience', 'where at an early age I was constantly criticized and', 'shamed As an adult where necessary', 'I endeavour to treat criticism as a constructive tool of feedback and improvement']",0.24,A_def
"Is something I continue to enjoy and take great pleasure in using it as a framework within which to continue my journey of discovery and fulfilment. Work is not separate to life. Work is part of living, of serving, of being useful. Indeed, one could call work - play. There is no separation. Whether I receive the appropriate value recognition or remuneration for my ""job"" is my judgement. Voluntary work, while unpaid, is the most rewarding, I find.","['something', 'I continue to enjoy and', 'take great pleasure in', 'using it as a framework', 'within which to continue my journey of discovery and fulfilment Work', 'is not separate to life Work', 'is part of living of', 'serving of', 'being useful', 'Indeed one could call work play', 'There is no separation', 'Whether I receive the appropriate value recognition or remuneration for my job', 'is my judgement Voluntary work', 'while unpaid is the most rewarding', 'I find']",0.25,A_def
never finding anything I am passionate about.,"['never finding anything', 'I am passionate about']",0.35,P_bevb_x
then you're lucky!!,['then you re lucky'],0.29,P_get_x
play and eat sugar.,"['play and', 'eat sugar']",0.22,A_def
never gets in trouble.,['never gets in trouble'],0.19,A_def
hurt because my mom says she can do anything,"['hurt', 'because my mom says', 'she can do anything']",0.22,A_pron_x
I've never been nervous...,['I ve never been nervous'],0.36,P_get_x
really hard.,['hard'],0.04,Undefined
likes dong work (and playing on his phone),"['likes dong work and', 'playing on his phone']",0.2,A_def
play.,['play'],0.0,A_def
Josh,['Josh'],0.04,Undefined
I would be happy,['I would be happy'],0.26,P_get_x
when they go to special places.,['when they go to special places'],0.2,A_def
I don't know,"['I don t', 'know']",0.06,A_def
people doesn't spank people,"['people', 'doesn', 't spank people']",0.3,Undefined
Lucy,['Lucy'],0.06,Undefined
if somebody hits me,['if somebody hits me'],0.16,A_def
dinosaurs!,['dinosaurs'],0.16,Undefined
by saying NO!!,"['by', 'saying NO']",0.1,P_yn
they get treats,['they get treats'],0.14,A_def
when my toys get lost,['when my toys get lost'],0.21,A_pron_x
play soccer,['play soccer'],0.25,A_def
bully me,['who bully me'],0.08,A_def
I had from Starwars (a leggo ship).,['I had from Starwars a leggo ship'],0.27,A_def
has a cat...I don't have a cat though I have 2 dogs,"['has a cat', 'I don t', 'have a cat', 'though I have 2 dogs']",0.15,A_def
(do not know what that means) I don't know,"['do not know', 'what that means', 'I don', 't know']",0.06,A_def
me,['me'],0.03,Undefined
I don't really know,"['I don', 't really know']",0.14,A_def
I don't really know,"['I don t', 'really know']",0.18,A_def
I don't know,"['know', 'I don t', 'know']",0.06,A_def
I don't know what that means (when children don't follow the rules) cuz I don't want to,"['I don', 't know', 'what that means', 'when children don t', 'follow the rules to', 'cuz I don t want']",0.27,A_def
being with my mom and dad,['being with my mom and dad'],0.17,A_pron_x
we had more people there,['we had more people there'],0.12,A_def
"my own dreams, nightmares I have thousands of them","['my own dreams nightmares', 'I have thousands of them']",0.2,A_def
"I would get out of bed, or house",['I would get out of bed or house'],0.18,A_def
is fun,['fun'],0.16,Undefined
my hands get shaky,['my hands get shaky'],0.13,A_pron_x
is fun,['fun'],0.16,Undefined
I don't know,"['I don', 't know']",0.06,A_def
have control of themselves,['have control of themselves'],0.26,A_def
confusing,['confusing'],0.31,Undefined
cry,['who cry'],0.07,A_def
I would buy a laptop,['I would buy a laptop'],0.25,A_def
are in trouble,['are in trouble'],0.21,P_bevb_x
they don't have any mental or physical permanent illnesses,['they don t have any mental or physical permanent illnesses'],0.24,A_def
"informs our personality and colors our perceptions i.e. our ego. Yet, if we are able to work through our shadow and dis-identfy from ego, we do not have to be ""stuck"" in our past and can learn to be grateful for it, as it has led us to the here and now. The past cannot be changed, but it can be accepted. And to some degree it is a mind construct. ","['informs our personality and colors our perceptions', 'e our ego', 'if we are able to work through our shadow and dis identfy from ego', 'Yet we do not have to be stuck in our past and', 'can learn to be grateful for it', 'as it has led us to the here and', 'now The past can not be changed', 'but it can be accepted', 'And to some degree it is a mind construct']",0.3,A_pron_x
is small,['is small'],0.09,P_bevb_x
are very nice.,['are very nice'],0.23,P_bevb_x
"I throw stuff sometimes, and I bang my head on under the pillows.","['I throw stuff sometimes', 'and I bang my head on under the pillows']",0.19,A_pron_x
when I feel sick I want to be alone,"['when I feel sick', 'I want to be alone']",0.24,P_get_x
we tell the police to stop them,['we tell the police to stop them'],0.26,A_def
ordinary. I am normal.,"['ordinary', 'I am normal']",0.47,P_bevb_x
I sometimes don't want to do it,"['I sometimes don', 't want to do it']",0.1,A_def
I would tell the adults what to do.,['I would tell the adults what to do'],0.24,A_def
I left them alone.,"['I', 'left them alone']",0.06,Undefined
I would buy a swim with seals.,['I would buy a swim with seals'],0.17,A_def
I sometimes use big voice then I go somewhere quiet so I can cry by myself.,"['I sometimes use big voice', 'then I go somewhere quiet', 'so I can cry by myself']",0.26,A_def
no running on the concrete.,['no running on the concrete'],0.29,A_def
I stomp my feet and go to my room,"['I stomp my feet and', 'go to my room']",0.18,A_pron_x
(shrug),['shrug'],0.2,Undefined
is dead,['is dead'],0.19,P_bevb_x
I died,['I died'],0.06,A_def
is fun,['is fun'],0.2,P_bevb_x
for hitting,['for hitting'],0.1,A_def
I can play,['I can play'],0.07,A_def
is different to the old schools,['different to the old schools'],0.2,Undefined
make people safe,['make people safe'],0.24,A_def
there would be a rule,['there would be a rule'],0.21,A_def
when I sleep,['when I sleep'],0.06,A_def
I normally go away,['I normally go away'],0.12,A_def
is eating dinner,['is eating dinner'],0.21,P_bevb_x
my friend Grace,[],-0.75,Indeterminate
I felt sad,['I felt sad'],0.06,P_get_x
rules,['rules'],0.15,Undefined
is fun,['is fun'],0.2,P_bevb_x
goes to a good school,['goes to a good school'],0.24,A_def
play,['play'],0.0,A_def
is nice,['is nice'],0.23,P_bevb_x
"going through the black gates, but I don't do it very much","['going through the black gates but', 'I don t', 'do it very much']",0.22,A_def
are fun,['fun'],0.16,Undefined
is really like me.,['is really like me'],0.1,P_bevb_x
are useful and sometimes not useful.,['are useful and sometimes not useful'],0.35,P_bevb_x
American.,['American'],0.31,Undefined
I'm in the car...makes me even sicker.,"['I m in the car', 'makes me even sicker']",0.19,A_def
my mom would come home more often.,['my mom would come home more often'],0.1,A_pron_x
"happy when something good happens, like when I'm being excited like a shopping mall getting built by my house. I could be happy about anything.","['happy', 'when something good happens like', 'when I m being', 'excited like a shopping mall', 'getting built by my house', 'I could be happy about anything']",0.29,Undefined
"is caring, sometimes nice, I'm lucky to have a dad, a dad is like amor he cares for you, sometimes like a grandpa and grandma, but even more important, he is part of you he helped make you so a dad is something lucky to have. You couldn't even be alive if you didn't have a dad, well you could if he died but then you don't have a dad, but you did have a dad which means you do have a dad.","['is caring', 'I m lucky to have a dad', 'a dad is like amor', 'he cares for you sometimes like a grandpa and grandma but', 'even more important he is part of you', 'he helped make you', 'so a dad is something lucky to have', 'You couldn t even be alive', 'if you didn t have a dad', 'well you could', 'if he died', 'but then you don', 't have a dad', 'but you did have a dad', 'which means', 'you do have a dad']",0.2,P_bevb_x
"is what like good child does, they say things you and say nice words and I forget what the other one was","['is', 'what like good child does they say things', 'you and say nice words', 'and I forget', 'what the other one was']",0.22,A_def
goes to work,"['goes', 'to work']",0.12,A_def
I didn't have my sisters...I've got 2,"['I didn t', 'have my sisters', 'I ve got 2']",0.19,A_pron_x
I don't know,"['I don t', 'know']",0.06,A_def
mommy,['mommy'],0.29,Undefined
house with a pool,['house with a pool'],0.13,Undefined
I get mad,"['want', 'I get mad']",0.23,P_get_x
I try to make them not helpless,['I try to make them not helpless'],0.32,A_def
I would spend it on cool stuff.,['I would spend it on cool stuff'],0.24,A_def
read,['read'],0.03,A_def
".
",[],-0.75,Indeterminate
I don't know how to answer this question. There's truly a perfection about what is. ,"['I don', 't know how to answer this question', 'There s truly a perfection about', 'what is']",0.3,A_def
"Depending on how grounded within myself at the time I can have a variety of responses, anything from near total collapse to curiosity and openness to learning from it. More and more these days, I am able to see that the criticism says at least as much about the other as it does about me (if anything about me).  Teasing these things apart, though, can be difficult.","['Depending on', 'Depending on', 'how grounded within myself at the time', 'I can have a variety of responses anything from near total collapse to curiosity and openness to', 'learning from it', 'More and more these days I am able to see', 'that the criticism says at least as much about the other', 'it does about me', 'if anything about me Teasing these things apart', 'as though can be difficult']",0.22,A_def
"...is mostly a delight for me, but I need my alone time to integrate and reconnect with myself.","['is mostly a delight for me', 'but I need my alone time', 'to integrate and', 'reconnect with myself']",0.32,A_pron_x
"...we don't make rules and laws that define certain behaviors as crime and delinquency.  I think we need to see these behaviors differently, perhaps as an expression of an unmet need.  And this, too, is an answer to the question - that we find a way to identify unmet needs and meet them before they turn into destructive behavior.","['we don t', 'make rules and laws', 'that define certain behaviors as crime and delinquency', 'I think', 'we need to see these behaviors differently perhaps as an expression of an unmet need', 'And this too is an answer to the question', 'that we find a way', 'to identify unmet needs and', 'meet them', 'before they turn into destructive behavior']",0.33,A_def
should be respected,['should be respected'],0.15,A_def
I express my anger directly in ways that do not involve other people. ,"['I express my anger directly in ways', 'that do not involve other people']",0.24,A_def
"calls me, I always pick up the phone.","['calls me', 'I always pick up the phone']",0.26,A_def
I'm okay,['want'],0.04,A_def
"Deeply intertwined.  Currently, on balance, not in a overall healthy way.  However, business as the driver of economic power has probably the highest potential to effect good if lined up in the right direction.

The final of the 10 Zen oxe-herding slides after pure emptiness is to return into the ""marketplace with open hands"".

","['Deeply intertwined Currently on balance not in a overall healthy way However business', 'as the driver of economic power has probably the highest potential', 'to effect good', 'if lined up in the right direction', 'The final of the 10 Zen oxe herding slides after pure emptiness is to return into the marketplace with open hands']",0.23,A_def
